OI_C,CHNG IN OI_C,VOLUME_C,IV_C,LTP_C,CHNG_C,BID QTY_C,BID PRICE_C,ASK PRICE_C,ASK QTY_C,STRIKE PRICE,BID QTY_P,BID PRICE_P,ASK PRICE_P,ASK QTY_P,CHNG_P,LTP_P,IV_P,VOLUME_P,CHNG IN OI_P,OI_P,TYPE_C,TYPE_P,BASQ_C,BASQ_P,RETURN_C,RETURN_P,RBAS_C,RBAS_P
273.00,16.00,2018.00,62.21,0.30,-0.05,1800.00,0.15,0.50,50.00,19250.00,1000.00,1687.45,1846.25,1000.00,0.00,0.00,0.00,0.00,0.00,3.00,0,1,-1750.00,0.00,-0.142857143,0,0.455,1122303.12
3622.00,138.00,5719.00,64.64,0.35,-0.25,6450.00,0.35,0.40,7050.00,19300.00,1000.00,1738.45,1893.40,50.00,-251.55,1785.00,0.00,10.00,-2.00,33.00,0,1,600.00,-950.00,-0.416666667,-0.123517714,0.075,1125510.315
195.00,-90.00,1932.00,64.23,0.25,-0.35,15000.00,0.20,0.40,1050.00,19350.00,1250.00,1800.45,1942.45,1800.00,0.00,0.00,0.00,0.00,0.00,1.00,0,1,-13950.00,550.00,-0.583333333,0,0.24,1062983.6
1499.00,162.00,1071.00,66.79,0.30,-0.25,7900.00,0.30,0.40,2500.00,19400.00,1000.00,1831.65,1944.90,50.00,-163.60,1895.00,0.00,14.00,-12.00,71.00,0,1,-5400.00,-950.00,-0.454545455,-0.079471485,0.14,855388.575
107.00,-18.00,1209.00,72.24,0.55,0.15,50.00,0.35,0.75,1500.00,19450.00,550.00,1888.20,2045.25,1000.00,0.00,0.00,0.00,0.00,0.00,1.00,0,1,1450.00,450.00,0.375,0,0.88,1235496.645
11419.00,-396.00,8811.00,69.81,0.30,-0.15,2750.00,0.30,0.40,3550.00,19500.00,200.00,2003.10,2013.85,100.00,-131.60,2009.10,110.30,285.00,-8.00,1141.00,0,1,800.00,-100.00,-0.333333333,-0.061475218,0.14,86364.425
1915.00,-79.00,6334.00,72.29,0.35,-0.20,2200.00,0.35,0.50,1400.00,19550.00,1250.00,1982.55,2149.20,1000.00,0.00,0.00,0.00,0.00,0.00,1.00,0,1,-800.00,-250.00,-0.363636364,0,0.255,1377112.275
2711.00,-99.00,2629.00,74.70,0.40,-0.15,400.00,0.25,0.40,1750.00,19600.00,200.00,2094.05,2116.65,50.00,-241.80,2094.00,0.00,42.00,-30.00,42.00,0,1,1350.00,-150.00,-0.272727273,-0.103519137,0.195,190323.64
117.00,-53.00,7465.00,70.12,0.15,-0.40,1750.00,0.15,0.55,50.00,19650.00,700.00,2078.50,2248.45,1800.00,0.00,0.00,0.00,0.00,0.00,3.00,0,1,-1700.00,1100.00,-0.727272727,0,0.56,1470730.305
3090.00,-49.00,1423.00,71.53,0.15,-0.25,3150.00,0.15,0.25,50.00,19700.00,700.00,2112.65,2258.10,1800.00,0.00,0.00,0.00,0.00,0.00,9.00,0,1,-3100.00,1100.00,-0.625,0,0.08,1271451.175
420.00,-313.00,2569.00,72.93,0.15,-0.40,3450.00,0.15,0.40,50.00,19750.00,1000.00,2183.40,2301.15,1100.00,0.00,0.00,0.00,0.00,0.00,1.00,0,1,-3400.00,100.00,-0.727272727,0,0.275,1056111.525
3929.00,-284.00,4447.00,76.07,0.20,-0.25,2800.00,0.15,0.30,650.00,19800.00,1000.00,2223.10,2426.20,1800.00,-203.20,2296.80,81.99,10.00,0.00,13.00,0,1,-2150.00,800.00,-0.555555556,-0.08128,0.135,1888545.66
22321.00,-412.00,17829.00,85.65,0.35,0.05,26850.00,0.20,0.35,10950.00,20000.00,1000.00,2506.65,2516.10,50.00,-116.80,2510.05,132.94,4166.00,-144.00,7702.00,0,1,-15900.00,-950.00,0.166666667,-0.044463902,0.165,94929.975
17819.00,-470.00,3518.00,93.33,0.15,-0.25,46850.00,0.15,0.20,1350.00,20500.00,100.00,3002.30,3013.55,200.00,-132.35,3000.10,128.27,38.00,-9.00,68.00,0,1,-45500.00,100.00,-0.625,-0.042251273,0.035,135356.625
46726.00,-2398.00,13264.00,106.31,0.15,-0.10,41800.00,0.15,0.20,800.00,21000.00,100.00,3500.90,3517.55,750.00,-146.85,3498.30,136.19,759.00,-435.00,447.00,0,1,-41000.00,650.00,-0.4,-0.040286408,0.035,233714.385
